Seconds, CPU, Memory
0, 0.0, 0.0
5, 0.0, 0.0
10, 0.0, 0.0
15, 0.0, 0.0
20, 0.0, 0.0
25, 0.0, 0.0
30, 0.0, 0.0
35, 0.0, 0.0
40, 0.0, 0.0
45, 0.0, 0.0
50, 0.0, 0.0
55, 0.1, 0.0
60, 0.3, 0.0
65, 0.5, 0.0
70, 0.6, 0.0
75, 0.8, 0.0
80, 0.9, 0.0
85, 1.0, 0.0
90, 1.1, 0.0
95, 1.2, 0.0
100, 1.3, 0.0
105, 1.4, 0.0
110, 1.4, 0.0
115, 1.5, 0.0
120, 1.6, 0.0
125, 1.6, 0.0
130, 1.6, 0.0
135, 1.7, 0.0
140, 1.7, 0.0
145, 1.8, 0.0
150, 1.8, 0.0
155, 1.8, 0.0
160, 1.9, 0.0
165, 1.9, 0.0
170, 1.9, 0.0
175, 2.0, 0.0
180, 2.0, 0.0
185, 2.0, 0.0
190, 2.0, 0.0
195, 2.0, 0.0
200, 2.0, 0.0
205, 2.0, 0.0
210, 2.1, 0.0
215, 2.1, 0.0
220, 2.1, 0.0
225, 2.1, 0.0
230, 2.1, 0.0
235, 2.2, 0.0
240, 2.2, 0.0
245, 2.2, 0.0
250, 2.2, 0.0
255, 2.2, 0.0
260, 2.2, 0.0
265, 2.3, 0.0
270, 2.3, 0.0
275, 2.3, 0.0
280, 2.3, 0.0
285, 2.3, 0.0
290, 2.3, 0.0
295, 2.3, 0.0
300, 2.4, 0.0
305, 2.4, 0.0
310, 2.4, 0.0
315, 2.4, 0.0
320, 2.4, 0.0
325, 2.4, 0.0
330, 2.4, 0.0
335, 2.4, 0.0
340, 2.4, 0.0
345, 2.4, 0.0
350, 2.4, 0.0
355, 2.4, 0.0
360, 2.4, 0.0
365, 2.4, 0.0
370, 2.4, 0.0
375, 2.4, 0.0
380, 2.5, 0.0
385, 2.5, 0.0
390, 2.5, 0.0
395, 2.5, 0.0
400, 2.5, 0.0
405, 2.5, 0.0
410, 2.5, 0.0
415, 2.5, 0.0
420, 2.5, 0.0
425, 2.5, 0.0
430, 2.5, 0.0
435, 2.5, 0.0
440, 2.5, 0.0
445, 2.5, 0.0
450, 2.5, 0.0
455, 2.5, 0.0
460, 2.5, 0.0
465, 2.5, 0.0
470, 2.5, 0.0
475, 2.5, 0.0
480, 2.5, 0.0
485, 2.5, 0.0
490, 2.5, 0.0
495, 2.5, 0.0
500, 2.5, 0.0
505, 2.5, 0.0
510, 2.6, 0.0
515, 2.6, 0.0
520, 2.6, 0.0
525, 2.6, 0.0
530, 2.6, 0.0
535, 2.6, 0.0
540, 2.6, 0.0
545, 2.6, 0.0
550, 2.6, 0.0
555, 2.6, 0.0
560, 2.6, 0.0
565, 2.6, 0.0
570, 2.6, 0.0
575, 2.6, 0.0
580, 2.6, 0.0
585, 2.6, 0.0
590, 2.6, 0.0
595, 2.6, 0.0
600, 2.6, 0.0
605, 2.6, 0.0
610, 2.6, 0.0
615, 2.6, 0.0
620, 2.6, 0.0
625, 2.6, 0.0
630, 2.6, 0.0
635, 2.6, 0.0
640, 2.6, 0.0
645, 2.6, 0.0
650, 2.6, 0.0
655, 2.6, 0.0
660, 2.6, 0.0
665, 2.6, 0.0
670, 2.6, 0.0
675, 2.6, 0.0
680, 2.6, 0.0
685, 2.6, 0.0
690, 2.6, 0.0
695, 2.6, 0.0
700, 2.6, 0.0
705, 2.7, 0.0
710, 2.7, 0.0
715, 2.7, 0.0
720, 2.7, 0.0
725, 2.7, 0.0
730, 2.7, 0.0
735, 2.7, 0.0
740, 2.7, 0.0
745, 2.7, 0.0
750, 2.7, 0.0
755, 2.7, 0.0
760, 2.7, 0.0
765, 3.0, 0.0
770, 3.6, 0.0
775, 4.2, 0.0
780, 4.8, 0.0
785, 5.3, 0.0
790, 5.9, 0.0
795, 6.5, 0.0
800, 7.0, 0.0
805, 7.6, 0.0
810, 8.2, 0.0
815, 8.7, 0.0
820, 9.3, 0.0
825, 9.8, 0.0
830, 10.3, 0.0
835, 10.8, 0.0
840, 11.2, 0.0
845, 11.5, 0.0
850, 11.8, 0.0
855, 12.2, 0.0
860, 12.5, 0.0
865, 12.9, 0.0
870, 13.4, 0.0
875, 13.9, 0.0
880, 14.3, 0.0
885, 14.8, 0.0
890, 15.2, 0.0
895, 15.7, 0.0
900, 16.1, 0.0
905, 16.5, 0.0
910, 17.0, 0.0
915, 17.4, 0.0
920, 17.8, 0.0
925, 18.2, 0.0
930, 18.5, 0.0
935, 18.8, 0.0
940, 19.0, 0.0
945, 19.2, 0.0
950, 19.4, 0.0
955, 19.8, 0.0
